"source_id","source_title","data_period_start","data_period_end","reference_year","geography","scope","domain","metric","value","value_text","unit","status","denominator","facility_level","source_reference","notes","quality_flag"
"01_kitwe_unicef_press_release","Oxygen Generation Plant at Kitwe Teaching Hospital Handed Over to the Government of Zambia","2024-05-02","2024-05-02","2024","Kitwe, Copperbelt Province, Zambia","Kitwe Teaching Hospital oxygen generation plant","project_finance","facility_value","1600000","US$1.6 million","USD","estimate","","oxygen generation plant","Lines 16-18; https://www.unicef.org/zambia/press-releases/oxygen-generation-plant-kitwe-teaching-hospital-handed-over-government-zambia","Source says the facility was constructed with financial support from Sweden and UNICEF and was valued at this amount; it does not state whether this is a budget, committed amount, or final expenditure.","reported_value_financial_basis_unclear"
"01_kitwe_unicef_press_release","Oxygen Generation Plant at Kitwe Teaching Hospital Handed Over to the Government of Zambia","2024-05-02","2024-05-02","2024","Zambia","Press release","project_timeline","publication_date","","02 May 2024","date","actual","","","Line 18; source URL","Date displayed with the press release.",""
"01_kitwe_unicef_press_release","Oxygen Generation Plant at Kitwe Teaching Hospital Handed Over to the Government of Zambia","2024-05-02","2024-05-02","2024","Kitwe, Copperbelt Province, Zambia","Kitwe Teaching Hospital oxygen generation plant","project_timeline","handover_date","","2 May 2024","date","actual","","oxygen generation plant","Lines 34-37; source URL","The dateline states that the plant was handed over on this date.",""
"01_kitwe_unicef_press_release","Oxygen Generation Plant at Kitwe Teaching Hospital Handed Over to the Government of Zambia","2024-05-02","2024-05-02","2024","Copperbelt Province, Zambia","Intended population served by the Kitwe plant","service_coverage","population_to_be_served","1800000","more than 1.8 million people","people","estimate","","regional referral network","Lines 34-38; source URL","This is a lower-bound catchment statement, not a measured beneficiary count; the plant ""will serve"" this population.","lower_bound"
"01_kitwe_unicef_press_release","Oxygen Generation Plant at Kitwe Teaching Hospital Handed Over to the Government of Zambia","","","2023","Kitwe, Copperbelt Province, Zambia","Oxygen plant construction","project_timeline","time_since_groundbreaking","1","a year ago","year before handover","estimate","","oxygen generation plant","Lines 43-45; source URL","Relative to the 2 May 2024 handover, the groundbreaking was approximately one year earlier. The source gives no exact groundbreaking date.","approximate_relative_date"
"01_kitwe_unicef_press_release","Oxygen Generation Plant at Kitwe Teaching Hospital Handed Over to the Government of Zambia","2024-05-02","2024-05-02","2024","Copperbelt Province, Zambia","Geographic service footprint","service_coverage","districts_supported","5","five Districts","districts","projection","","regional referral network","Lines 48-50; source URL","The source says the facility ""will support"" five districts but names no district other than Kitwe in this passage.","future_service_statement"
"01_kitwe_unicef_press_release","Oxygen Generation Plant at Kitwe Teaching Hospital Handed Over to the Government of Zambia","2024-05-02","2024-05-02","2024","Kitwe District, Copperbelt Province, Zambia","Health facilities in the stated service network","service_coverage","health_centers_supported","42","42 health centers","health centers","projection","","health center","Lines 48-50; source URL","The wording places Kitwe Teaching Hospital and 42 Kitwe District health centers within the broader five-district support statement; it does not enumerate the complete five-district facility network.","scope_wording_ambiguous"
"01_kitwe_unicef_press_release","Oxygen Generation Plant at Kitwe Teaching Hospital Handed Over to the Government of Zambia","2024-05-02","2024-05-02","2024","Kitwe District, Copperbelt Province, Zambia","Health centers designated for basic emergency obstetric and newborn care","maternal_newborn_health","bemonc_designated_health_centers","16","16 of 42 health centers","health centers","actual","42","health center","Lines 48-50; source URL","The source states that 16 of the 42 Kitwe District health centers are designated for basic emergency obstetric and newborn care.",""
"01_kitwe_unicef_press_release","Oxygen Generation Plant at Kitwe Teaching Hospital Handed Over to the Government of Zambia","2024-05-02","2024-05-02","2024","Kitwe Teaching Hospital, Kitwe, Zambia","PSA oxygen generation plant","oxygen_supply","minimum_cylinder_output_per_day","120","minimum of 120 oxygen cylinders per day","cylinders/day","capacity","","oxygen generation plant","Lines 56-57; source URL","Rated minimum output applies when the PSA system operates continuously under optimum conditions.","conditional_on_optimum_conditions"
"01_kitwe_unicef_press_release","Oxygen Generation Plant at Kitwe Teaching Hospital Handed Over to the Government of Zambia","2024-05-02","2024-05-02","2024","Kitwe Teaching Hospital, Kitwe, Zambia","Cylinder specification used for stated plant output","oxygen_supply","oxygen_cylinder_capacity","50","50-litre cylinder capacity each","litres/cylinder","capacity","","oxygen generation plant","Lines 56-57; source URL","Capacity is stated per cylinder; the source does not specify pressure or whether volume is expressed at standard conditions.","pressure_basis_not_reported"
"01_kitwe_unicef_press_release","Oxygen Generation Plant at Kitwe Teaching Hospital Handed Over to the Government of Zambia","2024-05-02","2024-05-02","2024","Kitwe Teaching Hospital, Kitwe, Zambia","Derived minimum nominal daily cylinder volume","oxygen_supply","minimum_nominal_oxygen_volume_per_day","6000","120 cylinders/day × 50 litres/cylinder = 6,000 litres/day","litres/day","derived","","oxygen generation plant","Derived from lines 56-57; source URL","Arithmetic product of the reported minimum cylinder count and nominal cylinder capacity. This is not independently reported and does not account for cylinder pressure or gas-volume reference conditions.","derived_nominal_volume_pressure_basis_unknown"
"01_kitwe_unicef_press_release","Oxygen Generation Plant at Kitwe Teaching Hospital Handed Over to the Government of Zambia","2022-01-01","2026-12-31","","Zambia","Zambian National Medical Oxygen Strategic Plan (NMOSP)","strategy","strategic_plan_period","","2022–2026","date range","context","","public health system","Lines 84-90; source URL","The source identifies the plan as NMOSP 2022–2026. Exact start and end dates within those calendar years are not reported; full-year bounds are used.","year_only_period_bounds"
"01_kitwe_unicef_press_release","Oxygen Generation Plant at Kitwe Teaching Hospital Handed Over to the Government of Zambia","2023-01-01","2023-12-31","2023","Zambia","Zambian National Medical Oxygen Strategic Plan","strategy","strategic_plan_launch_year","2023","launched last year","year","actual","","public health system","Lines 84-85; source URL","The 2024 press release says the plan was launched ""last year,"" implying 2023; no exact launch date is given.","derived_year_from_relative_date"
"01_kitwe_unicef_press_release","Oxygen Generation Plant at Kitwe Teaching Hospital Handed Over to the Government of Zambia","2022-01-01","2026-12-31","2026","Zambia","NMOSP objective on medical oxygen supply systems","strategy","public_hospitals_with_strengthened_medical_oxygen_supply_systems","60","60 percent of public hospitals","percent","target","public hospitals in Zambia","public hospital","Lines 87-92; source URL","Strategic target quoted by PATH. The source does not provide the baseline, absolute number of hospitals, measurement definition, or interim milestones; 2026 is treated as the target year from the plan period.","baseline_and_denominator_count_not_reported"
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","2022-01-01","2026-12-31","","Zambia","NMOSP","Strategy","Strategy implementation period","","2022–2026","date range","context","","","Cover; Executive Summary","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","2026-12-31","2022","Zambia","NMOSP 2022–2026","Finance","Total five-year implementation cost","1627243928","1627243928","USD","budget","","","Executive Summary; Table 19","Five-year total, not expenditure.",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2026","Zambia","Public hospitals","Strategy","Public hospitals with strengthened medical oxygen supply systems","60","60","percent","target","","","Strategic objective 1","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2022","Zambia","National oxygen workforce","Workforce","Oxygen-management staff","44","44","staff","baseline","","","Strategic objective 4","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2026","Zambia","National oxygen workforce","Workforce","Oxygen-management staff","3614","3614","staff","target","","","Strategic objective 4","","conflicts_with_Table23_3580"
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2026","Zambia","Level 1 facilities","Research","Research scaled to all Level 1 facilities","","All Level 1 facilities","goal","target","","","Strategic objective 6","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2021","Central","Province","Demographics","Rural population","1328910","1328910","people","projection","","","Table 1","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2021","Central","Province","Demographics","Urban population","452536","452536","people","projection","","","Table 1","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2021","Central","Province","Demographics","Total population","1781446","1781446","people","projection","","","Table 1","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2021","Copperbelt","Province","Demographics","Rural population","427511","427511","people","projection","","","Table 1","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2021","Copperbelt","Province","Demographics","Urban population","2308039","2308039","people","projection","","","Table 1","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2021","Copperbelt","Province","Demographics","Total population","2735550","2735550","people","projection","","","Table 1","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2021","Eastern","Province","Demographics","Rural population","1847401","1847401","people","projection","","","Table 1","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2021","Eastern","Province","Demographics","Urban population","271930","271930","people","projection","","","Table 1","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2021","Eastern","Province","Demographics","Total population","2119331","2119331","people","projection","","","Table 1","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2021","Luapula","Province","Demographics","Rural population","1001471","1001471","people","projection","","","Table 1","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2021","Luapula","Province","Demographics","Urban population","306579","306579","people","projection","","","Table 1","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2021","Luapula","Province","Demographics","Total population","1308050","1308050","people","projection","","","Table 1","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2021","Lusaka","Province","Demographics","Rural population","479059","479059","people","projection","","","Table 1","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2021","Lusaka","Province","Demographics","Urban population","3005335","3005335","people","projection","","","Table 1","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2021","Lusaka","Province","Demographics","Total population","3484394","3484394","people","projection","","","Table 1","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2021","Muchinga","Province","Demographics","Rural population","804713","804713","people","projection","","","Table 1","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2021","Muchinga","Province","Demographics","Urban population","334564","334564","people","projection","","","Table 1","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2021","Muchinga","Province","Demographics","Total population","1139277","1139277","people","projection","","","Table 1","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2021","North-Western","Province","Demographics","Rural population","654012","654012","people","projection","","","Table 1","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2021","North-Western","Province","Demographics","Urban population","321547","321547","people","projection","","","Table 1","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2021","North-Western","Province","Demographics","Total population","975559","975559","people","projection","","","Table 1","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2021","Northern","Province","Demographics","Rural population","1263065","1263065","people","projection","","","Table 1","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2021","Northern","Province","Demographics","Urban population","303304","303304","people","projection","","","Table 1","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2021","Northern","Province","Demographics","Total population","1566369","1566369","people","projection","","","Table 1","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2021","Southern","Province","Demographics","Rural population","1601167","1601167","people","projection","","","Table 1","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2021","Southern","Province","Demographics","Urban population","594249","594249","people","projection","","","Table 1","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2021","Southern","Province","Demographics","Total population","2195416","2195416","people","projection","","","Table 1","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2021","Western","Province","Demographics","Rural population","965870","965870","people","projection","","","Table 1","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2021","Western","Province","Demographics","Urban population","129081","129081","people","projection","","","Table 1","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2021","Western","Province","Demographics","Total population","1094951","1094951","people","projection","","","Table 1","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2021","Zambia","National","Demographics","Rural population","10373179","10373179","people","projection","","","Table 1","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2021","Zambia","National","Demographics","Urban population","8027164","8027164","people","projection","","","Table 1","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2021","Zambia","National","Demographics","Total population","18400343","18400343","people","projection","","","Table 1","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2015","Zambia","National annual deaths","Health burden","Deaths: Malaria","2538","2538","deaths","actual","","","Table 2","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2016","Zambia","National annual deaths","Health burden","Deaths: Malaria","1796","1796","deaths","actual","","","Table 2","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2017","Zambia","National annual deaths","Health burden","Deaths: Malaria","1344","1344","deaths","actual","","","Table 2","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2018","Zambia","National annual deaths","Health burden","Deaths: Malaria","1160","1160","deaths","actual","","","Table 2","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2019","Zambia","National annual deaths","Health burden","Deaths: Malaria","1275","1275","deaths","actual","","","Table 2","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2015","Zambia","National annual deaths","Health burden","Deaths: Respiratory infection (pneumonia)","1741","1741","deaths","actual","","","Table 2","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2016","Zambia","National annual deaths","Health burden","Deaths: Respiratory infection (pneumonia)","1231","1231","deaths","actual","","","Table 2","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2017","Zambia","National annual deaths","Health burden","Deaths: Respiratory infection (pneumonia)","955","955","deaths","actual","","","Table 2","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2018","Zambia","National annual deaths","Health burden","Deaths: Respiratory infection (pneumonia)","1041","1041","deaths","actual","","","Table 2","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2019","Zambia","National annual deaths","Health burden","Deaths: Respiratory infection (pneumonia)","875","875","deaths","actual","","","Table 2","",""
"02_Zambia_National_Medical_Oxygen_Strategy_2022_2026","Zambia National Medical Oxygen Strategic Plan 2022–2026","","","2015","Zambia","National annual deaths","Health burden","Deaths: Tuberculosis","1576","1576","deaths","actual","","","Table 2","",""
