"indicator","baseline_2022","target_2025","target_2026","latest_verified_actual","actual_as_of","verdict","how_to_read_it"
"Public hospitals with strengthened oxygen supply systems (headline goal)","Not stated as a count","","60%","No public national achievement percentage found; a separate World Bank project reported 80% of its designated hospitals had functional oxygen-delivery equipment","17 Jul 2026 search cutoff","Not publicly reported nationally","The World Bank result has a project-only denominator and cannot score the national 60% target. Best lead: the WHO-supported NHSP 2022–2026 midterm review was conducted and its M&E framework scores this exact indicator (Obj 25.7), but the report is not public."
"Facilities providing uninterrupted oxygen therapy","9 facilities","23 facilities","27 facilities","No national count published; shortages affecting operations reported at 2 Lusaka hospitals (contested)","24 Feb 2026","Not publicly reported","No public actuals exist for the plan's most patient-relevant target. The parliamentary report is a warning signal, not a count. Absence of data is not evidence the target was missed."
"Hospitals with oxygen production and refilling capacity","4 hospitals","22 hospitals","24 hospitals","At least 22 recent commissioned systems with stated cylinder-refilling capability: 15 World Bank mobile plants + Kitwe + 6 Global Fund–UNOPS plants; some were replacements or additions at existing plant sites","28 Apr 2026","Installation progress likely reached the numeric target; functional total unconfirmed","The public project count reaches 22 recent systems and older plants also exist, but this is not a reconciled national count of currently functional hospitals. Do not sum programmes into a functionality claim without MOH confirmation."
"Facilities with bulk liquid oxygen (LOX) tanks","0 facilities","14 facilities","15 facilities","At least 2 public installations identified: Levy Mwanawasa (23,000 L / later called 20-ton) and Livingstone UTH (reported 20-ton); no national inventory","Dec 2024","At least 2 of 15 publicly identified; no inventory published","Movement from zero is confirmed. Livingstone is supported by named technical officials but lacks a durable MOH press release; only MOH can confirm the current national count and operational status."
"Oxygen manifolds installed at Level 1–3 hospitals","6 manifolds","56 manifolds","66 manifolds","67–68 of 91 sampled facilities had a manifold or filling station (different definition); new plants at Kitwe, Kabwe, and St. Paul's include manifolds","Late 2023 sample; 2024–2026 releases","Not comparable","The BMES counted facilities with any manifold/filling station in a sample; the plan counts installed units nationally. The definitions cannot be joined."
"Pulse oximeters procured","0.03 devices per bed (2020 survey basis)","","5,000 devices","No national procurement total published; ~1 functional device per 10 beds in the 91-hospital sample","Late 2023","Not publicly reported","No procurement series exists in public sources; the only measured value is sampled functional density, which is a different indicator."
"Biomedical staff employed/trained for oxygen services","44 staff","1,000 staff","1,200 staff","No national count published; 42 of 91 sampled facilities had no available biomedical engineer/technician; Skills Award curriculum active at 2 colleges","Late 2023; Dec 2025","Not publicly reported; sampled evidence shows gaps","The verified workforce actions (76 trainers, 672 nurses trained, 2 colleges) are clinical or educational; the plan's biomedical employment total has no published actual."
"Oxygen-management staff (plan total)","44 staff","","3,614 staff","No public count","17 Jul 2026 search cutoff","Not publicly reported; plan internally conflicts","The plan states both 1,200 and 3,614 as workforce end-states in different tables. This internal conflict is preserved, not resolved."
"Cylinders hydrostatically tested and indexed","0%","90%","95%","No public result","17 Jul 2026 search cutoff","Not publicly reported","A priority confirmation item in the brief; no testing or indexing data has been published."
"Facilities with quality-control (purity) monitoring devices","0%","95%","100%","No public result; dashboard designed to capture purity but only 3 of 11 surveyed respondents used it","Aug 2022 survey","Not publicly reported","Purity compliance cannot be assessed from public sources."
"Facilities using oxygen data-capturing tools","0 facilities","80 facilities","100 facilities","3 of 11 surveyed respondents reported any dashboard use (Aug 2022); Jan 2025 assessment found registers, SOPs, and data staff still missing","Jan 2025","Not publicly reported; sampled evidence shows low use","Two independent measurements both show weak routine data capture, though neither is a national facility count."
"Cryogenic/bulk tanks at tertiary hospitals","0","","3 tanks","2 installations publicly identified: Levy Mwanawasa and Livingstone UTH","Dec 2024","2 of 3 publicly identified; only 1 has a durable institutional commissioning page","Levy is directly confirmed by the hospital; Livingstone is reported by named MOH/hospital/CHAI technical personnel. No consolidated inventory or measured operational series is public."
"Duplex PSA systems procured/installed","—","","10 systems","7 new plants commissioned 2024–2026; duplex status not stated in any release","28 Apr 2026","Not comparable","Public releases do not state whether new plants are duplex systems, so the target cannot be scored."
"Public PSA plants (context inventory, not a stated target)","10 installed; 9 functional","","—","Project and facility records identify at least 27 distinct facility sites with installed or commissioned PSA plants by Apr 2026 after reconciling known overlaps; current functionality is unknown","17 Jul 2026 search cutoff","Substantial growth verified; no official current inventory","The circulating figure of 35 still appears in no primary source, but it is now plausible rather than disproven: verified project records cover 15 World Bank plants, 6 Global Fund–UNOPS plants, Kitwe, and independent/older sites. The defensible public minimum is 27 identifiable sites, not 35 functional plants."
