"display_order","evidence_period","source_date","progress_area","evidence","value","type","geography","sample_scope","source","what_it_shows","limitation"
"1","September 2020","2020-09-03","Emergency equipment","Oxygen concentrator sets handed over","259","Actual","Zambia","National handover","UNICEF Germany-KfW handover","Confirmed post-COVID equipment delivery","No later functionality or facility-allocation series"
"2","2020","2022 strategy publication","Starting equipment baseline","Functional pulse oximeters","52","Actual","Zambia","8 government COVID-19 treatment facilities","2020 BMES summarized in national strategy","Monitoring capacity at the pandemic onset","Not a national sample and not comparable to the 2023 BMES"
"3","2020","2022 strategy publication","Starting equipment baseline","Functional ventilators","104","Actual","Zambia","8 government COVID-19 treatment facilities","2020 BMES summarized in national strategy","Critical-care equipment at the pandemic onset","Not a national sample and not comparable to the 2023 BMES"
"4","June–August 2020","2021-04","Starting supply baseline","Oxygen cylinders observed","584","Actual","Zambia","8 government referral/specialized hospitals","Direct 2020 BMES","Measured pandemic-era cylinder stock in the surveyed hospitals","Not a national inventory; 385 cylinders were concentrated at UTH Adult"
"5","June–August 2020","2021-04","Starting production baseline","PSA plant status","5 installed; 4 functional; 1 clearly functional and filling","Actual","Zambia","8 government referral/specialized hospitals","Direct 2020 BMES","Installed capacity did not automatically provide functional cylinder refilling","UTH Children’s status is internally contradictory"
"6","Third COVID-19 wave in 2021","2021-09-23","Crisis demand","Peak daily oxygen-cylinder demand","Up to 2,000/day","Estimate","Lusaka and Copperbelt","7 priority hospitals","CHAI","Demand pressure that motivated system investment","Peak estimate from seven hospitals"
"6.1","June 2021","2021-11 publication","National readiness","COVID centres reporting oxygen availability","96%","Actual","Zambia","53 COVID-19 case-management centres","WHO/MOH frontline readiness assessment","Broad emergency-centre availability contrasted with only 25% of primary-care facilities","Self-reported presence did not measure volume continuity or purity"
"7","By end of 2021","2024-11 publication","Production infrastructure","Cumulative PSA installations in later sample","10","Actual","Zambia","91-hospital BMES sample","PATH/MOH BMES Figure 3","Rapid installation growth after 2020","Installation history in a sample; not a national census"
"8","2022 strategy baseline","2022","Production infrastructure","Public PSA plants","10 installed; 9 functional","Baseline","Zambia","National public-plant inventory","National Medical Oxygen Strategy","Starting point for the national plan","Different scope from the later 91-hospital BMES"
"9","2022 strategy baseline","2022","LOX infrastructure","Public facilities with bulk liquid oxygen","0","Baseline","Zambia","National public-facility inventory","National Medical Oxygen Strategy","No public LOX system at strategy baseline","A planning baseline rather than a repeated annual census"
"10","2–5 August 2022","2022-10","Data-system use","Respondents reporting any oxygen-dashboard use","3 of 11 (27.3%)","Derived actual","Seven provinces","11-person convenience sample","PATH oxygen dashboard report","A national monitoring tool existed but routine use remained weak","Not nationally representative; 6 of 9 aware respondents reported never using it"
"10.1","Reported February 2022","2022-02-23","Distribution infrastructure","Government hospitals supported with oxygen and piping","11","Actual","Zambia","CHAI programme funded by BMGF and Unitaid","ACT-A Oxygen Taskforce milestones","Documents multi-hospital oxygen-distribution support","Facilities and post-installation functionality not listed"
"10.2","Reported February 2022","2022-02-23","Clinical training","Hospitals where staff were trained in pulse oximetry and oxygen","7","Actual","Zambia","CHAI programme funded by BMGF and Unitaid","ACT-A Oxygen Taskforce milestones","Documents early clinical-training reach","People trained and competency outcomes not reported"
"10.3","2022","2023 WHO publication","Emergency supply","WHO pre-filled oxygen cylinders","4,000 cylinders; US$744,000","Actual","Zambia","WHO COVID-19 response","WHO and UN Zambia annual reports","Large cylinder input with oxygen-specific financing","Not a current functional-cylinder inventory"
"10.4","11 July 2022","2022-07-11","Global Fund programme","Initial six-plant financing announcement","US$6.8 million","Planned","Zambia","Six PSA plants","UNOPS","Establishes the procurement-stage value of the later completed programme","Final official programme value increased to US$10.4 million"
"11","January 2023","2024-11 publication","LOX infrastructure","Levy Mwanawasa LOX tank","23,000 L","Actual","Lusaka","One national hospital","PATH/MOH BMES Table 9 and Unitaid","Shift from zero public LOX baseline to one installed and operating system","One facility only"
"11.1","March 2023","2023-03-07","Cylinder procurement","Oxygen cylinder assets reportedly procured","8,000","Reported claim","Zambia","Government/Global Fund procurement","ZAMMSA statement via Lusaka Times","Possible large post-plan cylinder-asset procurement","No accessible ZAMMSA or Global Fund primary record corroborated the count; not a current inventory"
"12","November–December 2023","2024-11","Production reliability","Assessed PSA plants operating year-round","73%","Actual","Zambia","PSA plants in 91-hospital BMES","PATH/MOH BMES","Installed plants did not all operate throughout the year","Denominator is assessed PSA plants"
"13","November–December 2023","2024-11","Production reliability","Assessed PSA plants operating 24 hours/day","64%","Actual","Zambia","PSA plants in 91-hospital BMES","PATH/MOH BMES","Installed plants did not all operate continuously","Denominator is assessed PSA plants"
"14","November–December 2023","2024-11","Bulk supply","Facilities without a bulk oxygen source","66 of 91 (73%)","Actual","All 10 provinces","91 surveyed hospitals","PATH/MOH BMES","Most assessed hospitals still lacked bulk supply","Cross-sectional sample rather than national census"
"15","November–December 2023","2024-11","Bedside distribution","Facilities with medical-gas piping","21 of 91 (23%)","Actual","All 10 provinces","91 surveyed hospitals","PATH/MOH BMES","Hospital distribution infrastructure lagged production investment","Another report table uses 22 as the piping denominator"
"16","November–December 2023","2024-11","Maintenance capacity","Facilities without available biomedical staff","42 of 91 (46%)","Actual","All 10 provinces","91 surveyed hospitals","PATH/MOH BMES","Nearly half lacked local equipment-maintenance capacity","Staff availability is not the same as national workforce headcount"
"17","2023","2026-02-09","Clinical workforce","Trainers completing national oxygen-therapy programme","76","Actual","Zambia","16 public hospitals","National oxygen-therapy training evaluation","Created a national trainer network for cascade delivery","Exact workshop date and objective competency change were not reported"
"18","2 May 2024","2024-05-02","New production","Kitwe PSA plant commissioned","Minimum 120 × 50-L cylinders/day","Capacity","Copperbelt","Kitwe Teaching Hospital","UNICEF","Confirmed plant delivery with nominal 6,000-L/day design output","Capacity under optimum conditions; not measured production"
"18.1","By project close in 2024","2025-04-15","National production rollout","World Bank mobile PSA plants installed and commissioned","15 of 15","Actual","All 10 provinces","15 named host hospitals","World Bank project completion aide memoire","Largest verified completed PSA rollout in the public record","Several host sites already had older plants; no routine uptime output or purity results"
"18.2","6 November 2024","2024-11-06","Global Fund financing","Revised value of six-plant programme","US$10.4 million","Budget","Zambia","Six named hospital projects","UNOPS and UN Zambia releases","Shows the scale of the completed infrastructure package","The initial 2022 announcement was US$6.8 million; sources do not explain the revision"
"19","By June 2024","2026-02-09","Clinical workforce","Additional nurses trained through cascade","672","Actual","Zambia","National programme","National oxygen-therapy training evaluation","Quantifies substantial clinical workforce reach","Programme output; competence and patient outcomes were not objectively measured"
"20","Reported September 2024","2024-09-30","Facility outcome","Average newborn length of stay","7 to 5 days","Reported actual","Lusaka","UTH Children’s Hospital","Global Oxygen Alliance Zambia case study","A facility reported shorter stays after oxygen equipment and staff training","No study dates, sample size, comparison method, or causal design published"
